cmp_segid,cmp_name,cmp_from,cmp_to,direction,length,cls_hcm85,year,period,auto_speed,los_hcm85,transit_speed,transit_sd,transit_cv,atspd_ratio
227,Van Ness/S VanNess,Golden Gate,13th,S,0.795408476848,3,2004,PM,5.0,F,,,,
167,Mission/Otis,Sickles,Ocean,N,1.44753252430,3,2009,PM,22.3694517409,B,10.0016011599,,,2.2365870607385487
127,Guerrero/San Jose,Monterey,29th,N,1.16980568480,1,2017,AM,13.4,E,,,,
212,Sutter,Mason,Gough,W,0.820507468686,3,2001,AM,14.5,C,,,,
164,Masonic,Geary,Bush/Euclid,N,0.200551608548,3,2001,PM,15.1,C,,,,
234,US-101,County Line,Cortland,N,2.31092245625,Fwy,2015,PM,51.3,C,,,,
2,2nd St,Brannan,Market,N,0.721663762149,3,2015,PM,5.26294416244,F,5.7,2.5,43.85964912280701754400,0.92332353727017543860
14,6th St,Market,Brannan,S,0.722780496169,3,2007,PM,10.903277411,D,,,,
183,North Point,Columbus,Van Ness,W,0.383452476840,3,2006,AM,17.6,C,9.7,,,1.8144329896907216
98,Folsom,4th,1st,E,0.515704432606,3,2019,AM,9.392353141743794,D,,,,
141,Junipero Serra,19th,Brotherhood,S,0.333726510153,1,2006,PM,35.3,A,,,,
208,Stanyan,Fulton,Turk,N,0.197824394368,3,1993,AM,12.2,D,,,,
162,Market/Portola,Santa Clara,Sloat,W,0.430782046226,3,2017,PM,13.3,C,,,,
85,Duboce/Division,Market,Mission,E,0.348379445760,3,2017,PM,11.3,D,,,,
200,Potrero,Cesar Chavez,21st,N,0.605891596600,3,2006,AM,17.8,C,7.1,,,2.5070422535211268
62,Castro/Divisadero,Geary,Pine,N,0.265206469451,3,2009,PM,10.7431746242,D,6.60764362226,,,1.6258707700288370
152,Market/Portola,Santa Clara,Burnett,E,1.33884085215,3,1993,AM,24.1,B,,,,
221,Van Ness/S VanNess,Cesar Chavez,13th,N,1.48805028807,3,2011,AM,18.353901854,C,,,,
110,Geary,25th Ave,Arguello,E,1.41841474441,3,2011,AM,20.2845602273,B,9.37,2.17,23.15901814300960512300,2.1648410061152615
213,Sutter,Gough,Divisadero,W,0.822182703122,3,1993,AM,14.1,C,,,,
179,Montgomery,Broadway,Bush,S,0.506858032647,3,2006,PM,8.2,E,,,,
14,6th St,Market,Brannan,S,0.722780496169,3,2015,AM,14.6,C,,,,
211,Sutter,Market,Mason,W,0.564249764960,3,1993,PM,7.3,E,,,,
23,19th Ave/Park Presidio,Junipero Serra,Sloat,N,1.24888872158,3,2006,PM,14.8,C,,,,
165,Masonic,Presidio,Geary,S,0.292435985410,3,2015,AM,14.9,C,,,,
87,Duboce/Division,Potrero,Mission,W,0.662127318457,3,2001,PM,12.0,D,,,,
96,Folsom,13th,8th,E,0.487048927493,3,2006,PM,18.0,C,,,,
13,6th St,Brannan,Market,N,0.722782725809,3,2017,PM,7.6,E,,,,
4,3rd St,Jamestown,Evans,N,1.62369965920,3,2017,PM,16.0,C,,,,
153,Market/Portola,Burnett,Castro,E,1.62396518156,3,1999,AM,22.0,B,,,,
240,I-280,Weldon,Junipero Serra,S,4.07165382419,Fwy,2019,PM,43.13848426472546,D,,,,
194,O'Farrell,Gough,Mason,E,0.847471383395,3,1991,PM,5.7,F,,,,
2,2nd St,Brannan,Market,N,0.721663762149,3,2007,AM,10.8301032578,D,,,,
60,Castro/Divisadero,Market,14th,N,0.322082953500,3,2011,AM,15.5824819892,C,7.22,2.1,29.08587257617728531900,2.1582385026592798
8,3rd St,Evans,Jamestown,S,1.62369966050,3,2006,PM,15.8,C,,,,
139,Junipero Serra,19th,Sloat,N,1.21069461907,1,2013,AM,21.6,D,,,,
175,Mission/Otis,9th,14th,S,0.682812825019,3,2013,PM,12.4,D,4.9,1.0,20.40816326530612244900,2.5306122448979592
219,Turk,Gough,Divisadero,W,0.821631342898,3,2013,PM,22.1,B,,,,
7,3rd St,Terry Francois,Evans,S,2.36056503215,3,2013,PM,20.5,B,,,,
123,Golden Gate,Franklin,Market,E,0.654019427686,3,2013,PM,9.47557328016,D,,,,
133,Harrison,4th,8th,W,0.686806802129,3,2013,PM,16.0,C,8.4,0.8,9.52380952380952381000,1.9047619047619048
172,Mission/Otis,3rd,Embarcadero,N,0.735527428542,3,1993,AM,8.9,E,,,,
134,Harrison,8th,Division,W,0.399153591986,3,2009,AM,13.2620098658,C,8.37,,,1.5844695180167264
67,Cesar Chavez,Bryant,Kansas,E,0.375195772370,3,2009,AM,20.4597663948,B,,,,
100,Franklin,Market,Pine,N,1.06130230475,3,2004,AM,9.0,D,,,,
104,Fulton,10th Ave,Arguello,E,0.533347149871,3,2019,PM,18.53626964276817,C,9.407208293687363,2.472170638196894,26.27953544789505381900,1.9704325729883961
181,North Point,Columbus,Embarcadero,E,0.613771483517,3,2006,AM,17.6,C,,,,
232,I-280,Junipero Serra,Weldon,E,4.02580481717,Fwy,2006,AM,31.9,E,,,,
120,Geneva,Paris,Cayuga,W,0.328791999333,3,1993,AM,11.6,D,,,,
59,Bush,Gough,Market,E,1.45497411971,3,1993,PM,10.1,D,,,,
220,Turk,Divisadero,Stanyan,W,0.912411302068,3,1993,PM,19.2,B,,,,
68,Cesar Chavez,Kansas,3rd,E,0.795213243079,3,2009,PM,25.4413295149,A,,,,
217,Turk,Market,Hyde,W,0.375659761448,3,1995,AM,11.6,D,,,,
148,Lincoln/ Kezar,Stanyan,5th Ave,W,0.699712820656,3,2007,PM,18.0883611321,C,,,,
203,Potrero,21st,Cesar Chavez,S,0.601499781690,3,2019,AM,18.120633507853398,C,7.42112569297133,1.2428918497333623,16.74802315921593376800,2.4417634544333008
32,Alemany,Lyell,Bay Shore,E,1.59170419230,3,2011,PM,30.2389657228,A,8.79,1.89,21.50170648464163822500,3.4401553723321957
146,Lincoln/ Kezar,19th Ave,5th Ave,E,0.831209653185,3,2007,AM,23.8557290381,B,,,,
216,Turk,Stanyan,Divisadero,E,0.912411302068,3,2007,AM,20.8039518435,B,9.3,,,2.2369840691935484
94,Fell,Gough,Laguna,W,0.181758774817,3,1993,PM,13.3,C,,,,
214,Townsend,7th,2nd,E,0.859492995265,3,2007,AM,15.7963284525,C,,,,
47,Broadway,Larkin,Powell,E,0.547817354303,1,2004,PM,12.7,F,,,,
92,Evans,3rd,Cesar Chavez,N,0.725419720476,3,2019,AM,14.087645620437655,C,16.073334893968774,2.787287325411418,17.34106421472806351800,0.87646065445471351979
228,Van Ness/S VanNess,13th,Cesar Chavez,S,1.48833300689,3,2006,AM,19.2,B,,,,
173,Mission/Otis,Embarcadero,3rd,S,0.736069710872,3,2009,PM,13.9161405308,C,7.07808048824,,,1.9660896134087785
113,Geary,Gough,Arguello,W,1.91511841291,3,2017,PM,18.5,C,8.8,1.325232746,15.05946302272727272700,2.1022727272727273
33,Alemany,Bay Shore,Lyell,W,1.56629050264,3,2009,PM,31.3769083176,A,,,,
60,Castro/Divisadero,Market,14th,N,0.322082953500,3,2015,PM,12.8,D,7.6,0.7,9.21052631578947368400,1.6842105263157895
172,Mission/Otis,3rd,Embarcadero,N,0.735527428542,3,2001,PM,10.7,D,,,,
96,Folsom,13th,8th,E,0.487048927493,3,2019,AM,11.80561316029144,D,8.595236297688164,2.7152952785887297,31.59069959855617775100,1.3735065275013744
197,Pine,Kearny,Leavenworth,W,0.628422823943,3,2001,AM,15.6,C,,,,
220,Turk,Divisadero,Stanyan,W,0.912411302068,3,2009,AM,21.2623927345,B,11.5657405206,,,1.8383944112034223
14,6th St,Market,Brannan,S,0.722780496169,3,2007,AM,14.1839244121,C,,,,
164,Masonic,Geary,Bush/Euclid,N,0.200551608548,3,2007,AM,23.7740150857,B,,,,
164,Masonic,Geary,Bush/Euclid,N,0.200551608548,3,2017,AM,17.6,C,,,,
142,Junipero Serra,Brotherhood,County Line,S,0.296423595548,1,2017,AM,54.6,A,14.5,0.726845302,5.01272622068965517200,3.7655172413793103
101,Franklin,Pine,Lombard,N,0.830624686731,3,2001,PM,7.3,E,,,,
3,2nd St,Market,Brannan,S,0.721663762241,3,2009,AM,16.345455825,C,9.07522043796,,,1.8011084068690965
151,Market/Portola,Sloat,Santa Clara,E,0.431052323524,3,1999,AM,18.9,C,,,,
236,US-101,I-80,Market,N,1.26905790716,Fwy,2017,PM,20.6,F,,,,
158,Market/Portola,Van Ness,Guerrero,W,0.431522395133,3,2011,PM,11.3092122404,D,5.22,1.41,27.01149425287356321800,2.1665157548659004
25,19th Ave/Park Presidio,Lincoln,Lake,N,1.84601264148,3,2006,PM,27.2,A,,,,
45,Brannan,6th,Division,W,0.544046730846,3,2009,PM,9.75692395241,D,,,,
23,19th Ave/Park Presidio,Junipero Serra,Sloat,N,1.24888872158,3,2019,PM,17.215348922753545,C,10.11168567959406,1.6643800435443183,16.45996618450204720700,1.7025201799433965
64,Castro/Divisadero,Geary,14th,S,1.13367559359,3,2006,PM,12.3,D,5.5,,,2.2363636363636364
245,I-80,Fremont Exit,Treasure Island,E,2.69955015435,Fwy,1999,PM,23.1,F,,,,
14,6th St,Market,Brannan,S,0.722780496169,3,2017,AM,12.3,D,,,,
61,Castro/Divisadero,14th,Geary,N,1.13408167104,3,1997,PM,12.3,D,,,,
116,Geneva,Ocean,Cayuga,E,0.558812922082,3,2009,PM,8.42032194923,E,6.90101509737,,,1.2201570102982405
169,Mission/Otis,Cesar Chavez,14th,N,1.39150936015,3,2009,PM,13.8594034508,C,7.12598370137,,,1.9449109107750937
62,Castro/Divisadero,Geary,Pine,N,0.265206469451,3,2019,AM,8.799036797664963,E,5.3135885434174215,0.9851453650075264,18.54011384129363850700,1.6559499716185936
23,19th Ave/Park Presidio,Junipero Serra,Sloat,N,1.24888872158,3,2011,AM,16.9432820411,C,9.81,2.51,25.58613659531090723800,1.7271439389500510
38,Bayshore,Industrial,Cesar Chavez,N,0.829650030423,3,2013,AM,15.8,C,9.3,1.6,17.20430107526881720400,1.6989247311827957
142,Junipero Serra,Brotherhood,County Line,S,0.296423595548,1,2011,PM,45.340599517,A,16.3,4.96,30.42944785276073619600,2.7816318722085890
56,Bryant,Division,4th,E,0.993047358802,3,2007,AM,11.1846908496,D,,,,
71,Cesar Chavez,Bryant,Guerrero,W,0.754605993692,3,2017,AM,9.4,D,6.9,0.743352608,10.77322620289855072500,1.3623188405797101
17,9th St,Brannan,Market,N,0.722619010047,3,2006,PM,13.3,C,,,,
119,Geneva,Santos,Paris,W,1.18847158845,3,2007,AM,22.8006086376,B,,,,
124,Gough,Pine,Geary,S,0.255620329960,3,2015,AM,13.5,C,,,,
103,Fulton,Park Presidio,10th Ave,E,0.204862455561,3,2011,AM,24.5178941242,B,,,,
191,Ocean,Miramar,19th Ave,W,1.10970844133,3,2015,PM,13.1,C,,,,
84,Drumm,Washington,Market,S,0.216551603299,3,2013,AM,6.75,F,,,,
95,Fell,Laguna,Stanyan,W,1.56263550676,3,2007,PM,23.0939295548,B,,,,
138,Junipero Serra,Brotherhood,19th,N,0.338531960516,1,2013,PM,13.8,E,8.8,1.5,17.04545454545454545500,1.5681818181818182
127,Guerrero/San Jose,Monterey,29th,N,1.16980568480,1,2013,AM,21.2,D,,,,
115,Geary,25th Ave,Great Hwy,W,1.78761096415,3,2011,PM,22.68386204,B,10.8,2.56,23.70370370370370370400,2.1003575962962963
183,North Point,Columbus,Van Ness,W,0.383452476840,3,2017,PM,12.2,D,6.1,0.745355992,12.21895068852459016400,2.0000000000000000
229,Washington,Drumm,Kearny,W,0.443557749998,3,2006,AM,17.1,C,,,,
41,Beale/Davis,Clay,Mission,S,0.324642787669,3,2007,AM,14.0895744896,C,,,,
32,Alemany,Lyell,Bay Shore,E,1.59170419230,3,2019,AM,21.34548371142888,B,,,,
189,Ocean,Miramar,Howth,E,0.484469999936,3,2011,AM,11.3941804491,D,1.65,0.94,56.96969696969696969700,6.9055639085454545
110,Geary,25th Ave,Arguello,E,1.41841474441,3,2009,AM,23.8872962015,B,9.85998298894,,,2.4226508532818483
179,Montgomery,Broadway,Bush,S,0.506858032647,3,2017,AM,8.9,E,,,,
107,Fulton,Arguello,10th Ave,W,0.533347149871,3,2017,AM,19.9,B,16.9,3.705409354,21.92549913609467455600,1.1775147928994083
88,Duboce/Division,Mission,Market,W,0.348636697167,3,2017,AM,8.4,E,,,,
74,Columbus,Greenwich,North Point,N,0.424419897198,3,2017,PM,12.4,D,6.6,0.652596623,9.88782762121212121200,1.8787878787878788
205,Skyline,Sloat,County Line,S,1.94421775284,3,2017,AM,34.6,A,15.0,1.946611992,12.97741328000000000000,2.3066666666666667
84,Drumm,Washington,Market,S,0.216551603299,3,2001,AM,22.0,B,,,,
90,Embarcadero,North Point,Townsend,S,2.16491593596,3,2017,PM,9.3,D,,,,
27,19th Ave/Park Presidio,US-101,Lake,S,1.25908915215,1,1993,PM,36.4,A,,,,
113,Geary,Gough,Arguello,W,1.91511841291,3,2017,AM,17.5,C,9.6,1.599305405,16.65943130208333333300,1.8229166666666667
65,Castro/Divisadero,14th,Market,S,0.322082953500,3,2013,PM,13.4,C,8.6,1.1,12.79069767441860465100,1.5581395348837209
158,Market/Portola,Van Ness,Guerrero,W,0.431522395133,3,2017,PM,11.0,D,5.8,0.8,13.79310344827586206900,1.8965517241379310
58,Bush,Masonic,Gough,E,1.24315754846,3,2017,AM,15.7,C,,,,
193,Octavia,Fell,Market,S,0.278272129977,3,2006,PM,14.2,C,,,,
28,19th Ave/Park Presidio,Lake,Lincoln,S,1.84601372457,3,1993,PM,26.4,A,,,,
77,Doyle/Lombard/Richardson,County Line,SF Cemetery,E,1.15791853500,1,1993,PM,55.3,A,,,,
220,Turk,Divisadero,Stanyan,W,0.912411302068,3,2007,PM,18.9190299301,C,10.3,,,1.8367990223398058
15,7th St,Brannan,Market,N,0.722734761560,3,2004,PM,10.4,D,,,,
174,Mission/Otis,3rd,9th,S,0.979368189260,3,2017,PM,11.4,D,9.8,1.228775858,12.53852916326530612200,1.1632653061224490
85,Duboce/Division,Market,Mission,E,0.348379445760,3,2015,AM,13.3,C,,,,
7,3rd St,Terry Francois,Evans,S,2.36056503215,3,2006,AM,20.2,B,,,,
150,Main,Mission,Market,N,0.121791230451,3,2007,AM,16.7877558485,C,4.4,,,3.8153990564772727
220,Turk,Divisadero,Stanyan,W,0.912411302068,3,2015,AM,18.4,C,9.9,1.8,18.18181818181818181800,1.8585858585858586
233,I-280,Weldon,6th/Brannan,N,3.51470300942,Fwy,2006,PM,25.5,F,,,,
146,Lincoln/ Kezar,19th Ave,5th Ave,E,0.831209653185,3,2013,AM,20.2,B,10.8,1.9,17.59259259259259259300,1.8703703703703704
120,Geneva,Paris,Cayuga,W,0.328791999333,3,2015,PM,10.8,D,5.6,0.7,12.50000000000000000000,1.9285714285714286
28,19th Ave/Park Presidio,Lake,Lincoln,S,1.84601372457,3,2006,PM,24.1,B,,,,
53,Broadway,Larkin,Gough,W,0.363564254544,3,2013,PM,12.643902439,D,,,,
171,Mission/Otis,9th,3rd,N,0.979367599471,3,2011,PM,12.4481479059,D,8.0,1.78,22.25000000000000000000,1.5560184882375000
212,Sutter,Mason,Gough,W,0.820507468686,3,1991,AM,9.0,D,,,,
29,19th Ave/Park Presidio,Lincoln,Sloat,S,2.12907397694,3,2009,PM,23.5678169931,B,10.8960142114,,,2.1629759778068272
139,Junipero Serra,19th,Sloat,N,1.21069461907,1,2001,PM,14.4,E,,,,
127,Guerrero/San Jose,Monterey,29th,N,1.16980568480,1,2011,PM,24.1867753793,C,,,,
111,Geary,Arguello,Gough,E,1.91390459887,3,2013,AM,20.5,B,9.4,0.7,7.44680851063829787200,2.1808510638297872
15,7th St,Brannan,Market,N,0.722734761560,3,2017,AM,8.6,E,6.2,1.237710832,19.96307793548387096800,1.3870967741935484
135,Hayes,Market,Gough,W,0.391576854315,3,2007,AM,17.9853550543,C,6.5,,,2.7669777006615385
189,Ocean,Miramar,Howth,E,0.484469999936,3,2019,PM,10.567543403441679,D,7.302015295138428,1.86637968277952,25.55978873424337432400,1.4472091575153767
7,3rd St,Terry Francois,Evans,S,2.36056503215,3,2017,PM,17.9,C,,,,
73,Columbus,Montgomery,Greenwich,N,0.670645592975,3,2019,PM,12.177453762541804,D,4.838786595860045,0.8810711691831821,18.20851471187025307600,2.5166337719792302
26,19th Ave/Park Presidio,Lake,US-101,N,1.18461024485,1,2007,AM,44.0456555214,A,,,,
6,3rd St,Terry Francois,Market,N,1.04889791085,3,2004,AM,6.2,F,,,,
23,19th Ave/Park Presidio,Junipero Serra,Sloat,N,1.24888872158,3,2017,AM,17.8,C,12.3,0.846458049,6.88177275609756097600,1.4471544715447154
242,US-101,I-80,Cortland,S,1.96819137287,Fwy,2004,AM,31.7,E,,,,
16,8th St,Market,Bryant,S,0.602907603633,3,2015,AM,13.5,C,6.7,1.5,22.38805970149253731300,2.0149253731343284
131,Harrison,Embarcadero,1st,W,0.342951254629,3,1993,AM,34.8,A,,,,
36,Bay,Embarcadero,Van Ness,W,1.07470567787,3,2011,AM,20.110848335,B,,,,
85,Duboce/Division,Market,Mission,E,0.348379445760,3,1995,PM,15.4,C,,,,
174,Mission/Otis,3rd,9th,S,0.979368189260,3,2009,PM,15.082829901,C,7.55082463635,,,1.9975076402106595
220,Turk,Divisadero,Stanyan,W,0.912411302068,3,1993,AM,17.1,C,,,,
126,Gough,Golden Gate,Market,S,0.541309002365,3,2015,PM,7.9,E,,,,
121,Geneva,Cayuga,Ocean,W,0.527710560386,3,2007,AM,6.91496523268,F,,,,
140,Junipero Serra,Sloat,19th,S,1.21066503663,1,2013,AM,25.3,C,,,,
130,Guerrero/San Jose,29th,Monterey,S,1.16595263224,1,2019,AM,21.285963126567584,D,21.03047542415485,5.696175891092357,27.08534056510169815000,1.01214845110535589632
8,3rd St,Evans,Jamestown,S,1.62369966050,3,2009,PM,22.3259806365,B,,,,
94,Fell,Gough,Laguna,W,0.181758774817,3,2015,PM,12.7,D,,,,
44,Brannan,3rd,6th,W,0.516217358991,3,2019,AM,13.572631680974801,C,,,,
149,Lincoln/ Kezar,5th Ave,19th Ave,W,0.830036717317,3,2006,PM,22.7,B,,,,
140,Junipero Serra,Sloat,19th,S,1.21066503663,1,2017,AM,23.4,C,,,,
156,Market/Portola,Van Ness,Drumm,E,1.77159678410,3,1995,PM,6.3,F,,,,
47,Broadway,Larkin,Powell,E,0.547817354303,1,2001,PM,11.0,F,,,,
126,Gough,Golden Gate,Market,S,0.541309002365,3,1995,AM,11.1,D,,,,
23,19th Ave/Park Presidio,Junipero Serra,Sloat,N,1.24888872158,3,2015,PM,15.2,C,9.5,1.1,11.57894736842105263200,1.6000000000000000
61,Castro/Divisadero,14th,Geary,N,1.13408167104,3,2013,AM,14.4,C,6.4,0.5,7.81250000000000000000,2.2500000000000000
57,Bryant,4th,Embarcadero,E,0.772988184956,3,1993,AM,21.8,B,,,,
143,Kearny,Market,Columbus,N,0.647422162187,3,2019,PM,9.048556703479395,D,5.6671292317309225,0.9303327721048116,16.41629710675678768200,1.5966737890527470
196,Pine,Market,Kearny,W,0.382655359247,3,2013,AM,6.91782553729,F,,,,
245,I-80,Fremont Exit,Treasure Island,E,2.69955015435,Fwy,2004,PM,14.6,F,,,,
182,North Point,Embarcadero,Columbus,W,0.613771483517,3,2019,PM,17.38,C,,,,
53,Broadway,Larkin,Gough,W,0.363564254544,3,2007,PM,10.8721983265,D,,,,
175,Mission/Otis,9th,14th,S,0.682812825019,3,2011,PM,13.5198590888,C,7.17,2.09,29.14923291492329149200,1.8856149356764296
93,Fell,Gough,Market,E,0.292938474432,3,1993,AM,11.6,D,,,,
172,Mission/Otis,3rd,Embarcadero,N,0.735527428542,3,2011,PM,10.8617890485,D,6.86,2.3,33.52769679300291545200,1.5833511732507289
132,Harrison,1st,4th,W,0.516426449075,3,2017,PM,7.8,E,5.4,1.453191214,26.91094840740740740700,1.4444444444444444
216,Turk,Stanyan,Divisadero,E,0.912411302068,3,2011,PM,17.2361943025,C,9.81,3.14,32.00815494393476044900,1.7570024773190622
223,Van Ness/S VanNess,Golden Gate,Washington,N,0.839652033394,3,2019,AM,9.133711904536414,D,6.4381708963001305,0.7078579431855611,10.99470571047362012700,1.4186811831579912
155,Market/Portola,Guerrero,Van Ness,E,0.431522394244,3,2019,AM,9.50073666632932,D,,,,
41,Beale/Davis,Clay,Mission,S,0.324642787669,3,1993,PM,13.4,C,,,,
80,Doyle/Lombard/Richardson,Van Ness,Lyon/Francisco,W,1.29004337304,3,2013,AM,20.4,B,9.4,0.9,9.57446808510638297900,2.1702127659574468
65,Castro/Divisadero,14th,Market,S,0.322082953500,3,2009,AM,9.93478490533,D,10.0895308038,,,0.98466272599993268678
56,Bryant,Division,4th,E,0.993047358802,3,2011,PM,14.2502889412,C,7.49,2.44,32.57676902536715620800,1.9025752925500668
221,Van Ness/S VanNess,Cesar Chavez,13th,N,1.48805028807,3,2015,AM,16.0,C,,,,
223,Van Ness/S VanNess,Golden Gate,Washington,N,0.839652033394,3,1999,AM,10.4,D,,,,
239,I-280,6th/Brannan,Weldon,S,3.46971923620,Fwy,2009,PM,54.5158515337,C,,,,
174,Mission/Otis,3rd,9th,S,0.979368189260,3,2004,PM,8.4,E,,,,
216,Turk,Stanyan,Divisadero,E,0.912411302068,3,2007,PM,19.1136201678,B,5.4,,,3.5395592903333333
225,Van Ness/S VanNess,Lombard,Washington,S,0.576466382615,3,2001,PM,12.8,,,,,
32,Alemany,Lyell,Bay Shore,E,1.59170419230,3,2015,AM,22.3,B,,,,
86,Duboce/Division,Mission,Potrero,E,0.662291590226,3,2013,PM,10.5446224256,D,,,,
86,Duboce/Division,Mission,Potrero,E,0.662291590226,3,2001,PM,14.2,C,,,,
137,Junipero Serra,County Line,Brotherhood,N,0.289362174587,1,1993,PM,40.4,A,,,,
152,Market/Portola,Santa Clara,Burnett,E,1.33884085215,3,2013,PM,23.1,B,11.2,2.0,17.85714285714285714300,2.0625000000000000
126,Gough,Golden Gate,Market,S,0.541309002365,3,2009,PM,8.65092072758,E,,,,
197,Pine,Kearny,Leavenworth,W,0.628422823943,3,2013,AM,15.1705685619,C,,,,
86,Duboce/Division,Mission,Potrero,E,0.662291590226,3,1991,PM,9.9,D,,,,
155,Market/Portola,Guerrero,Van Ness,E,0.431522394244,3,2017,AM,9.9,D,4.6,0.536013005,11.65245663043478260900,2.1521739130434783
50,Broadway,Embarcadero,Montgomery,W,0.348437873429,3,2001,AM,11.2,D,,,,
72,Clay,Kearny,Davis,E,0.378528736482,3,2013,PM,6.64884568651,F,6.5,0.6,9.23076923076923076900,1.02289933638615384615
135,Hayes,Market,Gough,W,0.391576854315,3,2004,PM,7.1,E,,,,
93,Fell,Gough,Market,E,0.292938474432,3,2004,AM,6.1,F,,,,
128,Guerrero/San Jose,29th,Cesar Chavez,N,0.285708016388,3,1993,PM,12.6,D,,,,
50,Broadway,Embarcadero,Montgomery,W,0.348437873429,3,2006,PM,10.1,D,,,,
194,O'Farrell,Gough,Mason,E,0.847471383395,3,2013,PM,13.3,C,8.5,0.7,8.23529411764705882400,1.5647058823529412
78,Doyle/Lombard/Richardson,SF Cemetery,Lyon/Francisco,E,0.925783629892,1,2007,PM,32.7081692383,B,,,,
143,Kearny,Market,Columbus,N,0.647422162187,3,1999,PM,9.1,D,,,,
136,Howard,Embarcadero,S Van Ness,W,2.10857259785,3,2017,PM,9.3,D,,,,
171,Mission/Otis,9th,3rd,N,0.979367599471,3,2019,AM,13.206627470856564,C,9.620175434331225,1.8706704395805,19.44528405276992953700,1.3728052633766405
8,3rd St,Evans,Jamestown,S,1.62369966050,3,2007,PM,22.2307780389,B,,,,
77,Doyle/Lombard/Richardson,County Line,SF Cemetery,E,1.15791853500,1,2009,PM,39.7950137726,A,,,,
130,Guerrero/San Jose,29th,Monterey,S,1.16595263224,1,2017,PM,19.1,D,,,,
222,Van Ness/S VanNess,13th,Golden Gate,N,0.807720551166,3,1993,AM,15.9,C,,,,
138,Junipero Serra,Brotherhood,19th,N,0.338531960516,1,2009,PM,15.1551142591,E,14.765634234,,,1.0263774666856616
201,Potrero,21st,Division,N,0.795213636929,3,2009,AM,22.469884663,B,9.88661921086,,,2.2727571664050596
129,Guerrero/San Jose,Cesar Chavez,29th,S,0.284216818075,3,2011,AM,12.1867643217,D,,,,
76,Columbus,Greenwich,Montgomery,S,0.670645593109,3,2019,PM,8.575786805260925,E,,,,
14,6th St,Market,Brannan,S,0.722780496169,3,2017,PM,10.4,D,,,,
48,Broadway,Powell,Montgomery,E,0.354654055522,3,2001,PM,10.4,D,,,,
188,Ocean,19th Ave,Miramar,E,1.10967009791,3,2015,PM,13.8,C,,,,
63,Castro/Divisadero,Pine,Geary,S,0.265206469451,3,2006,AM,11.7,D,7.4,,,1.5810810810810811
72,Clay,Kearny,Davis,E,0.378528736482,3,2009,AM,19.1189704186,B,6.82911497232,,,2.7996263785415326
148,Lincoln/ Kezar,Stanyan,5th Ave,W,0.699712820656,3,2001,AM,9.9,D,,,,
52,Broadway,Powell,Larkin,W,0.547817354303,1,2011,AM,31.5906631638,B,6.3,1.88,29.84126984126984127000,5.0143909783809524
238,I-80,Fremont Exit,US-101,W,1.70499663737,Fwy,2001,AM,25.9,F,,,,
27,19th Ave/Park Presidio,US-101,Lake,S,1.25908915215,1,2001,PM,34.5,B,,,,
24,19th Ave/Park Presidio,Sloat,Lincoln,N,2.12907723919,3,2017,PM,18.9,C,10.4,0.90003631,8.65419528846153846200,1.8173076923076923
31,Alemany,Junipero Serra,Lyell,E,2.94945429357,3,2019,AM,18.506390278462295,C,,,,
7,3rd St,Terry Francois,Evans,S,2.36056503215,3,2017,AM,17.5,C,,,,
